alias;city;inCity;address;fullAddress;coordinates;phone;yandex
aparinki;Апаринки;в Апаринках;владение 5;деревня Апаринки, вл5;55.570008, 37.759560;84954093741;94bc7c3ca7b6e2dc
arhangelskoe;Архангельское;в Архангельском;24А;городской округ Красногорск, посёлок Архангельское, 24А;55.789031, 37.296200;84954093741;77f5407e36dc2699
balashiha;Балашиха;в Балашихе;улица Текстильщиков, 16;Балашиха, улица Текстильщиков, 16;55.808705, 37.957360;84954093741;d0ce310cd887e38f
barviha;Барвиха;в Барвихе;;Одинцовский район, сельское поселение Барвихинское;55.724165, 37.280884;84954093741;3855baf2a49e4205
butovo;Бутово;в Бутово;Проектируемый проезд 185,владение 8с5;Москва, Проектируемый проезд № 185, вл8с5;55.530872, 37.571040;84954093741;1db01d8fee1a247a
veshki;Вёшки;в Вёшках;Абрикосовая улица, 29;городской округ Мытищи, посёлок Вёшки, Абрикосовая улица, 29;55.928071, 37.608792;84954093741;0eb127a91e39b2c6
vidnoe;Видное;в Видном;проспект Ленинского Комсомола, 1Д;Видное, проспект Ленинского Комсомола, 1Д;55.549959, 37.721211;84954093741;f8274b102e2d7c34
vlasiha;Власиха;во Власихе;;Московская область, посёлок Власиха;55.685503, 37.190423;84954093741;63557712985a0c10
voskresenskoe;Воскресенское;в Воскресенском;;Москва, поселение Воскресенское;55.517495, 37.442572;84954093741;d936dd177a893ce6
dedovsk;Дедовск;в Дедовске;улица Набережная Речфлота, 1;городской округ Истра, Дедовск, улица Набережная Речфлота, 1;55.860787, 37.108605;84954093741;94aeb6da31677c80
dzerzhinskii;Дзержинский;в Дзержинском;улица Стройгородок, вл5;Московская область, Дзержинский, улица Стройгородок, вл5;55.629155, 37.842798;84954093741;1268fae8f8a876b0
dolgoprudnyi;Долгопрудный;в Долгопрудном;Промышленный проезд, 8;Долгопрудный, Промышленный проезд, 8;55.924219, 37.499902;84954093741;b215cb0d7fa2cb8a
domodedovo;Домодево;в Домодедово;улица Авенариуса, 5;Домодедово, микрорайон Белые Столбы, улица Авенариуса, 5;55.332570, 37.843427;84954093741;9d6c05103a6eb952
zheleznodorozhnyi;Железнодорожный;в Железнодорожном;Автозаводская улица, 13Б;Балашиха, микрорайон Железнодорожный, Автозаводская улица, 13Б;55.738556, 38.013613;84954093741;79fee4fe1995073d
zhukovskii;Жуковский;в Жуковском;улица Чапаева, 24;Жуковский, улица Чапаева, 24;55.612090, 38.107163;84954093741;8becc8ae3ec6f4c5
zelenograd;Зеленоград;в Зеленограде;2-й Западный проезд, 1с4;Зеленоград, 2-й Западный проезд, 1с4;56.006603, 37.192382;84954093741;25badd0012883cae
ivanteevka;Ивантеевка;в Ивантеевке;улица Толмачёва, 104с1;Ивантеевка, улица Толмачёва, 104с1;55.960256, 37.930105;84954093741;dc2ae4d2b3cdafdf
ilinskoe;Ильинское-Усово;в Ильинское-Усово;;городской округ Красногорск, посёлок Ильинское-Усово;55.766136, 37.220265;84954093741;5cd156b9ffe3ec64
cliazma;Клязьма;в Клязьме;Костомаровская улица, 5/1с11;Пушкино, микрорайон Клязьма, Костомаровская улица, 5/1с11;55.977743, 37.851970;84954093741;afa6add859d548e1
korolev;Королев;в Королеве;Пионерская улица, 4к83;Королёв, Пионерская улица, 4к83;55.910003, 37.799643;84954093741;3fedfea67e4288ca
kotelniki;Котельники;в Котельниках;Новая улица, 19с3;Котельники, Новая улица, 19с3;55.665071, 37.862696;84954093741;ef8bd46bc5d60c04
kraskovo;Красково;в Красково;улица Карла Маркса, 121с1;городской округ Люберцы, посёлок городского типа Красково, улица Карла Маркса, 121с1;55.663888, 37.993922;84954093741;8a10270707cdfba6
krasnogorsk;Красногорск;в Красногорске;Оптический проезд, 1;Красногорск, Оптический проезд, 1;55.828900, 37.343209;84954093741;8c5cc48cb1a897f6
kurkino;Куркино;в Куркино;Куркинское шоссе, 13к1с1;Москва, Куркинское шоссе, 13к1с1;55.883191, 37.408220;84954093741;7e5c16031370918a
lobnia;Лобня;в Лобне;улица Гагарина, 9с7;Лобня, улица Гагарина, 9с7;56.019440, 37.462613;84954093741;7ed18d8cf571b331
lytkarino;Лыткарино;в Лыткарино;улица Степана Степанова, 9Е;Лыткарино, квартал 3А, улица Степана Степанова, 9Е;55.589762, 37.914240;84954093741;c73b7631a14e192c
