id;title;listtitle;longtitle;altimage;popular;phoneCallToActionTitle;seo_title;seo_h1;seo_description;layout;typePost;section;folder;sort;breadcrumbs;alias;banner;thumbnail;content
1;Диагностика неисправностей;Диагностика неисправностей ноутбука;Диагностика неисправностей ноутбука;Диагностика неисправностей ноутбука;false;Нужна диагностика неисправностей ноутбука? Звоните!;Диагностика неисправностей ноутбука;Диагностика неисправностей ноутбука;Диагностика ноутбука необходима перед любым ремонтом или профилактикой. В зависимости от характера поломки диагностика может занимать разное количество времени. Иногда достаточно нескольких минут, но при сложных поломках (не включается, залитие жидкостью и т.д.) может понадобиться несколько часов.;service;repair-notebook;/services;repair/notebook;100;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";diagnostika-neispravnostei-noutbuka;/assets/images/upload/services/repair/notebook/diagnostika-neispravnostei-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_diagnostika-neispravnostei-noutbuka.jpg;"Диагностика ноутбука необходима перед любым ремонтом или профилактикой.

В зависимости от характера поломки диагностика может занимать разное количество времени. Иногда достаточно нескольких минут, но при сложных поломках (не включается, залитие жидкостью и т.д.) может понадобиться несколько часов.

Если Вы заметили странности в функционировании ноутбука или он по какой либо причине перестал работать, желательно незамедлительно провести диагностику для выявления неисправностей.

"
2;Чистка от пыли;Чистка от пыли системы охлаждения ноутбука;Чистка от пыли системы охлаждения ноутбука;Чистка от пыли системы охлаждения ноутбука;true;Нужно почистить ваш ноутбук от пыли? Звоните!;Чистка от пыли системы охлаждения ноутбука;Чистка от пыли системы охлаждения ноутбука;Ноутбук для охлаждения пропускает через себя большое количество воздуха. Вместе с воздухом в него попадает пыль (вряд ли вы пользуетесь своим ноутбуком в стерильно чистом помещении).;service;repair-notebook;/services;repair/notebook;200;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";chistka-ot-pyli-sistemy-okhlazhdeniia-noutbuka;/assets/images/upload/services/repair/notebook/chistka-ot-pyli-sistemy-okhlazhdeniia-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_chistka-ot-pyli-sistemy-okhlazhdeniia-noutbuka.jpg;"Ноутбук для охлаждения пропускает через себя большое количество воздуха. Вместе с воздухом в него попадает пыль (вряд ли вы пользуетесь своим ноутбуком в стерильно чистом помещении).

Это приводит к ""забиванию"" радиатора системы охлаждения, что проявляется громким постоянным шумом от вентилятора, перегревом ноутбука, притормаживании во время работы и даже незапланированными перезагрузками.

Конструкции у ноутбуков очень похожи, так что сложностей в проведении этой процедуры {% inCity %} не возникнет."
3;Замена термопасты;Замена термопасты ноутбука;Замена термопасты ноутбука;Замена термопасты ноутбука;false;Нужна замена термопасты? Звоните!;Замена термопасты ноутбука;Замена термопасты ноутбука;Производить замену термопасты рекомендуется раз в год-два, в зависимости от интенсивности пользования и режима нагрузки на процессор и видеокарту. На практике, как только ноутбук начинает греться больше обычного, производят замену термопасты, совмещая с чисткой от пыли.;service;repair-notebook;/services;repair/notebook;300;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-termopasty-noutbuka;/assets/images/upload/services/repair/notebook/zamena-termopasty-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-termopasty-noutbuka.jpg;"Теплопроводная паста (термопаста) применяется для улучшения теплоотдачи между процессором, чипом видеокарты и радиатором системы охлаждения. Со временем термопаста затвердевает и теряет свои теплопроводящие свойства, и ноутбук от нагрева начинает медленней работать.

Производить замену термопасты рекомендуется раз в год-два, в зависимости от интенсивности пользования и режима нагрузки на процессор и видеокарту. На практике, как только ноутбук начинает греться больше обычного, производят замену термопасты, совмещая с чисткой от пыли."
4;Чистка после залития;Чистка ноутбука после залития;Чистка ноутбука после залития;Чистка ноутбука после залития;false;Залили ноутбук? Звоните!;Чистка ноутбука после залития;Чистка ноутбука после залития;"Одной из самых распространенных неисправностей ноутбука является не функционирование из-за залития корпуса разными напитками или после попадания ноутбука под дождь. 
Даже если убрать жидкость с поверхности ноутбука, то не гарантируется попадание влаги во внутрь корпуса, следовательно, через некоторое время на микросхемах может начаться процесс коррозии, которая вызовет отказ работы.";service;repair-notebook;/services;repair/notebook;400;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";chistka-noutbuka-posle-zalitiia;/assets/images/upload/services/repair/notebook/chistka-noutbuka-posle-zalitiia.jpg;/assets/images/upload/services/repair/notebook/thumb_chistka-noutbuka-posle-zalitiia.jpg;"Одной из самых распространенных неисправностей ноутбука является не функционирование из-за залития корпуса разными напитками или после попадания ноутбука под дождь.

Даже если убрать жидкость с поверхности ноутбука, то не гарантируется попадание влаги во внутрь корпуса, следовательно, через некоторое время на микросхемах может начаться процесс коррозии, которая вызовет отказ работы.

Поэтому следует разобрать ноутбук, промыть специальной жидкостью и тщательно высушить феном или другим способом все внутренние элементы. Микросхемы и материнскую плату очищают с помощью ультразвуковой ванны."
5;Разборка и сборка ноутбука;Разборка и сборка ноутбука;Разборка и сборка ноутбука;Разборка и сборка ноутбука;false;Не можете собрать ноутбук? Звоните!;Разборка и сборка ноутбука;Разборка и сборка ноутбука;Когда необходимо произвести замену какой либо детали ноутбука, добраться до труднодоступных мест для ремонта, поменять батарейку биоса, приходиться полностью или частично разобрать корпус ноутбука.;service;repair-notebook;/services;repair/notebook;500;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";razborka-i-sborka-noutbuka;/assets/images/upload/services/repair/notebook/razborka-i-sborka-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_razborka-i-sborka-noutbuka.jpg;"Когда необходимо произвести замену какой либо детали ноутбука, добраться до труднодоступных мест для ремонта, поменять батарейку биоса, приходиться полностью или частично разобрать корпус ноутбука.

В некоторых моделях доступ к внутренним элементам ноутбука весьма затруднен, снимается как нижняя крышка, так и демонтируется верхняя часть корпуса с клавиатурой, в других моделях наоборот - достаточно снять нижнюю крышку и материнская плата полностью доступна.

"
6;Замена матрицы;Замена матрицы ноутбука;Замена матрицы ноутбука;Замена матрицы ноутбука;true;Нужна замена матрицы? Звоните!;Замена матрицы ноутбука;Замена матрицы ноутбука;Сложность замены матрицы не зависит от производителя, больше это касается конкретных моделей ноутбуков. Но, так как мы имеем большой опыт в разборке и сборке ноутбуков, сложности в замене матрицы для нас нет.;service;repair-notebook;/services;repair/notebook;600;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-matritcy-noutbuka;/assets/images/upload/services/repair/notebook/zamena-matritcy-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-matritcy-noutbuka.jpg;"Матрица - самый хрупкий элемент ноутбука. Ее можно разбить, раздавить, сильно поцарапать, и работать на ноутбуке, с поврежденной матрицей становиться не возможно.

Сложность замены матрицы не зависит от производителя, больше это касается конкретных моделей ноутбуков. Но, так как мы имеем большой опыт в разборке и сборке ноутбуков, сложности в замене матрицы для нас нет.

Мы можем заменить экран в ноутбуке любого производителя. В том числе: Asus, Acer, HP, MSI, Toshiba, Samsung, Compaq, DELL, eMachines, Fujitsu, Gigabyte, Lenovo, LG, Packard Bell, Sony."
7;Замена клавиатуры;Замена клавиатуры ноутбука;Замена клавиатуры ноутбука;Замена клавиатуры ноутбука;true;Нужна замена матрицы ноутбука? Звоните!;Замена клавиатуры ноутбука;Замена клавиатуры ноутбука;Ремонт клавиатуры чаще всего стоит дороже покупки новой. К нему стоит прибегать, если найти новую клавиатуру для вашего ноутбука не представляется возможным. Единственный ремонт, который целесообразен по цене - это замена клавиш. В остальных случаях нужна замена.;service;repair-notebook;/services;repair/notebook;700;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-claviatury-noutbuka;/assets/images/upload/services/repair/notebook/zamena-claviatury-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-claviatury-noutbuka.jpg;"Ремонт клавиатуры чаще всего стоит дороже покупки новой. К нему стоит прибегать, если найти новую клавиатуру для вашего ноутбука не представляется возможным. Единственный ремонт, который целесообразен по цене - это замена клавиш. В остальных случаях нужна замена.

У большинства ноутбуков клавиатура заменяется просто и быстро. Сложность возникает в поиске оригинальной или совместимой клавиатуры.

Мы поможем найти необходимую Вам клавиатуру {% inCity %}."
8;Замена жесткого диска;Замена жесткого диска ноутбука;Замена жесткого диска ноутбука;Замена жесткого диска ноутбука;true;Нужна замена клавиатуры ноутбука? Звоните!;Замена жесткого диска ноутбука;Замена жесткого диска ноутбука;Жесткие диски крайне негативно переносят удары и падения компьютера, особенно включенного и производящего в данный момент какие либо действия с диском. Современные высокоскоростные жесткие диски имеют срок службы, который при регулярном использовании ноутбука в среднем составляет 3-5 лет.;service;repair-notebook;/services;repair/notebook;800;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-zhestkogo-diska-noutbuka;/assets/images/upload/services/repair/notebook/zamena-zhestkogo-diska-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-zhestkogo-diska-noutbuka.jpg;"Жесткие диски крайне негативно переносят удары и падения компьютера, особенно включенного и производящего в данный момент какие либо действия с диском.

Современные высокоскоростные жесткие диски имеют срок службы, который при регулярном использовании ноутбука в среднем составляет 3-5 лет.

Со временем поверхность диска физически изнашивается, и начинаются проблемы с запуском операционной системы, сбои в работе, пропадает информация, и такой диск необходимо вовремя заменить."
9;Замена корпусных деталей;Замена корпусных деталей ноутбука;Замена корпусных деталей ноутбука;Замена корпусных деталей ноутбука;false;Нужна замена корпусных деталей ноутбука? Звоните!;Замена корпусных деталей ноутбука;Замена корпусных деталей ноутбука;Если ноутбук после падения продолжает работать без последствий, то на корпусе могут образоваться трещины, сколы или отломаться целые куски пластика, это может сказаться на работе системы охлаждения ноутбука.;service;repair-notebook;/services;repair/notebook;900;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-korpusnykh-detalei-noutbuka;/assets/images/upload/services/repair/notebook/zamena-korpusnykh-detalei-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-korpusnykh-detalei-noutbuka.jpg;"Если ноутбук после падения продолжает работать без последствий, то на корпусе могут образоваться трещины, сколы или отломаться целые куски пластика, это может сказаться на работе системы охлаждения ноутбука.

Немалое значение всегда имеет внешний вид ноутбука, а сколы и трещины на корпусе смотрятся не эстетично и непрезентабельно, поэтому такие детали корпуса подлежат замене.

Корпус ноутбука состоит из верхней панели (может быть с клавиатурой и без), нижней панели (поддона), крышки и рамки матрицы и других элементов, которые можно заменить."
10;Замена кулера охлаждения;Замена кулера системы охлаждения ноутбука;Замена кулера системы охлаждения ноутбука;Замена кулера системы охлаждения ноутбука;false;Нужна замена кулера системы охлаждения ноутбука? Звоните!;Замена кулера системы охлаждения ноутбука;Замена кулера системы охлаждения ноутбука;Система охлаждения ноутбука состоит из охлаждающего вентилятора (кулера), радиатора соединенного с радиаторным мостом, вентиляционных отверстий в корпусе ноутбука и слоя термоинтерфейса или термпопасты в местах соединения системы с чипами на материнской плате.;service;repair-notebook;/services;repair/notebook;1000;"[{""name"": ""Услуги"", ""url"": ""/services/""},{""name"": ""Ремонт устройств"", ""url"": ""/services/repair/""},{""name"": ""Ноутбук"", ""url"": ""/services/repair/notebook/""}]";zamena-kulera-sistemy-okhdazhdeniia-noutbuka;/assets/images/upload/services/repair/notebook/zamena-kulera-sistemy-okhdazhdeniia-noutbuka.jpg;/assets/images/upload/services/repair/notebook/thumb_zamena-kulera-sistemy-okhdazhdeniia-noutbuka.jpg;"Система охлаждения важная составляющая часть ноутбука и ее неправильная работа или повреждения сказываются на функционировании устройства в целом.

Система охлаждения ноутбука состоит из охлаждающего вентилятора (кулера), радиатора соединенного с радиаторным мостом, вентиляционных отверстий в корпусе ноутбука и слоя термоинтерфейса или термпопасты в местах соединения системы с чипами на материнской плате.

Кулер, как и любая другая механическая деталь имеет свой ресурс выработки, поэтому именно его нам приходится менять чаще, чем другие неподвижные элементы системы охлаждения."
